Dryland Winter,Sample Location (Farm/Field),,,,,,,,,,,,,,
Wheat Variety Brand/Name,BL (North Central),BE (North Central),OT (Southeast),PA (Southeast),EL (Central),HL (Central),AS (Central),NW (South Central),HU (South Central),SJ (South Central),RS (Northwest),CO (Northwest),DC (Northwest),LA (Southwest),GC (Southwest)
CARTWRIGHT,23,78,61.5,65.5,76.1,75.1,40.5,55,66.3,34.8,69.7,41.6,60,44.8,77.2
AP_BIGFOOT,21.9,86.7,NA,NA,61.6,84.8,50.4,58.3,73.3,32,70.5,51.2,52.1,49.1,71.5
AP_EVERROCK,24.2,79.3,NA,NA,61.8,89.2,50.4,51.3,67.3,39.3,NA,NA,NA,NA,NA
AP_PROLIFIC,26.3,87.7,77.1,82.2,71.2,93,45.4,53.9,65,38.4,NA,NA,NA,NA,NA
AP_ROADRUNNER,23.3,79.3,NA,NA,NA,NA,NA,58.3,67.9,30,72.2,53.5,55.4,43.9,69.5
AP18_AX,19.1,80.5,NA,NA,71.7,87.3,43.4,59.9,63,31.6,80.5,60.1,58.5,45,77
SY_WOLVERINE,27.5,83.3,NA,NA,83.1,101,51,58,67.8,42.1,79.6,53,57.5,55.2,86
AG_ICON,25.2,81.4,NA,NA,62.2,76.9,48.9,55.5,69,35.2,NA,NA,NA,NA,NA
AG_RADICAL,24,79.5,66.5,75.2,63.2,91.1,53.4,55.6,69.7,31.4,NA,NA,NA,NA,NA
AG_GOLDEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8,47.9,50.6,51.6,83.8
TAM_114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,47.3,35.4,34,64.4
KS_DALLAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6,60,64.3,49.1,82.1
KS_HAMILTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9,58.4,53.9,48.2,76.7
KS_TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6,54.8,56.5,49.5,59.6
KS_PROVIDENCE,28.8,83.1,70,66.5,72.7,89,51.9,57.8,76.5,37.4,72.9,47.8,67.3,44.8,74.2
KS_AHEARN,28.2,88.5,NA,NA,72.6,79.1,45.4,58.1,67.4,36.9,NA,NA,NA,NA,NA
KS_HATCHETT,23.6,71.7,NA,NA,74.4,82.2,48,60.1,61.1,32.1,NA,NA,NA,NA,NA
KS_SILVERADO,NA,NA,NA,NA,NA,NA,NA,57.6,67.2,39.2,NA,NA,NA,NA,NA
KS_WESTERN_STAR,NA,NA,NA,NA,61.7,77.4,52.8,50.6,71.7,32.3,65.1,43.8,61.3,NA,NA
ZENDA,28,70.9,66,75.3,59.8,85.2,44.6,48.4,56.1,40.8,NA,NA,NA,NA,NA
LCS_ATOMIC_AX,26.3,87.8,NA,NA,58.1,87.1,50.3,59.5,65.8,32.8,75,54.2,59.5,52.5,73.8
LCS_CHROME,23.9,85.1,NA,NA,73.6,84.9,50.2,61.5,67.7,35.4,70.2,45.1,51.4,40.9,76.4
LCS_HELIX_AX,21.9,91.3,NA,NA,73.8,87,51.2,54.2,63.9,36.4,71.2,57,51,49.3,84.4
LCS_JULEP,25.3,81.6,NA,NA,78.1,88.1,49.1,53.6,62.7,35.7,81.3,52.3,51.7,47.2,75.5
LCS_PHOTON_AX,21.5,71.9,NA,NA,58.8,71.7,46.1,48.6,57.5,31.2,NA,NA,NA,41.9,73.5
LCS_REVERE,NA,NA,NA,NA,67.7,84.6,51.3,51.9,64.8,28.8,67.1,43.5,50,44,72
LCS_RUNNER,27.6,92.1,NA,NA,67,84.4,47.9,56.7,76.5,34,73.6,54,53.1,53.7,85.2
LCS_STEEL_AX,24.7,90.3,NA,NA,84,89.7,49.9,54.2,73,25.9,74.8,54.7,54.2,54,87.8
LCS_VALIANT,24.8,76.7,NA,NA,57.2,89.6,48.6,55.6,69,39.2,69.3,34.4,45.7,45.7,71
MS_MAVERICK,31.1,92.8,NA,NA,70.9,86.8,55.8,60.4,66.4,29.8,75.2,58.4,60,49.3,77.5
DOUBLESTOP_CL_PLUS,23.9,78.7,NA,NA,66.3,80.4,52.9,54,55.9,35,NA,NA,NA,NA,NA
SHOWDOWN,25.3,87.2,NA,NA,73.1,87.9,50.2,60.4,67.3,38.5,NA,NA,NA,41.2,75.5
HIGH_COUNTRY,21.7,82,NA,NA,62.7,81.9,51.5,NA,NA,NA,65.9,60.2,60.4,56.3,85.7
PARADISE,20.1,77.3,58.6,73.7,71.8,83.9,49,52.5,60.8,29.8,NA,NA,NA,NA,NA
ROCK_STAR,23.9,90.3,66.1,78.2,71.1,88.2,50.2,54.4,74.7,33.1,72.8,54.6,57.6,46.2,78.7
WB4269,29.9,72.5,64.6,67.1,65.5,81.6,49.8,54,69.1,34.1,NA,NA,NA,NA,NA
WB4401,25.3,92,61.3,73,67.1,95.6,44.5,63.5,64.1,33.7,81.8,32.4,60.9,NA,NA
WB4422,21.3,88.3,81.2,85,83.4,101.6,55,54.2,72.7,31.8,85.3,62.7,60.9,48,87.8
WB4523,25.1,82.4,81.2,72.3,70,91.9,49.3,61,65,28.4,NA,NA,NA,NA,NA
WB4595,25.9,88.7,NA,NA,NA,NA,NA,NA,NA,NA,69.6,56.3,51.6,47.9,75.1
WB4699,25,84.7,70,92.1,66.8,88,50.5,54,61,38.7,NA,NA,NA,NA,NA
WB4792,NA,NA,NA,NA,NA,NA,NA,52.6,68.2,35.7,60.4,55.5,59.1,48.6,79.2
EVEREST,NA,NA,59.4,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOB_DOLE,NA,NA,NA,NA,67.5,88.9,47.2,53.9,68.1,35.6,NA,NA,NA,NA,NA
CP7017AX,NA,NA,NA,NA,66.4,91.8,45.7,51.6,73.6,42.4,NA,NA,NA,NA,NA
CP7266AX,NA,NA,NA,NA,59.9,71.4,42.9,46.5,61.4,29.5,NA,NA,NA,NA,NA
CP7909,NA,NA,NA,NA,63.6,87,52.5,62.7,76.6,36,NA,NA,NA,NA,NA
SMITHS_GOLD,NA,NA,NA,NA,58.9,71.8,48,54.1,60,30,NA,NA,NA,NA,NA
STRAD_CL_PLUS,NA,NA,NA,NA,82.3,82.4,44.3,54.2,57.4,31.7,NA,NA,NA,NA,NA
CANVAS,NA,NA,NA,NA,59.3,85.9,53.2,57,73.4,33.4,73.4,68.5,62.9,54.6,85
CRESCENT_AX,NA,NA,NA,NA,61.7,83,47.3,67.5,68.5,33.3,70.5,63,59,53.8,73.1
GUARDIAN,NA,NA,NA,NA,65.6,86.1,46.8,NA,NA,NA,79.2,60.6,58,47.8,89.8
KIVARI_AX,NA,NA,NA,NA,75.9,75.9,55.1,63,74.9,40.3,NA,NA,NA,NA,NA
WHISTLER,NA,NA,NA,NA,66.6,87.4,56.9,61.2,78.2,31.6,78.4,67.4,66.1,55.3,93.8
BAKERS_ANN,NA,NA,NA,NA,NA,NA,NA,54.4,62.6,36.1,NA,NA,NA,NA,NA
GREEN_HAMMER,NA,NA,NA,NA,NA,NA,NA,50.6,57.8,33.5,NA,NA,NA,NA,NA
OK_CORRAL,NA,NA,NA,NA,NA,NA,NA,58.6,67.8,34,NA,NA,NA,45.8,59.2
OAKLEY_CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,46.7,56.5,NA,NA
TATANKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7,56.5,55.6,50,71
T158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,51.3,42.1,45.1,68.2